BDGT_SRC_ASST,BDGT_SRC_FED,BDGT_SRC_FEE,BDGT_SRC_MNC,BDGT_TTL,BDGT_TTL_EST,COM_COL,COM_MIS,COM_NSARA,COM_PTNR,COM_SARA,COM_SURV,COM_TRN_INSRV,COM_TRN_REC,City,Disqualifies Complaints,Erases misconduct records ,FTCIV,FTSWORN,Gives officers unfair access to info ,HIR_RTR_DB,HIR_RTR_DC,HIR_RTR_OTHR,HIR_RTR_SS,Limits oversight/discipline,PAY_BARG,PAY_FUNC_ADMN,PAY_FUNC_CRT,PAY_FUNC_EMRG,PAY_FUNC_EVNT,PAY_FUNC_INVS,PAY_FUNC_PTRL,PAY_FUNC_SHFT,PAY_INCT_EDU,PAY_INCT_HZRD,PAY_INCT_LANG,PAY_INCT_MRT,PAY_INCT_OTHR,PAY_INCT_RINC,PAY_INCT_SD,PAY_INCT_SPCL,PAY_INCT_SPEC,PAY_INCT_VOC,PAY_LMT,PAY_OUT,PAY_OVER_NSW,PAY_OVER_SW,PAY_RMB_ARMR,PAY_RMB_FIRE,PAY_RMB_SFTY,PAY_RMB_TUIT,PAY_RMB_UNF,PAY_RST_HRS,PAY_RST_NO,PAY_RST_OTHR,PAY_RST_TYPE,PAY_SAL_EXC_MAX,PAY_SAL_EXC_MIN,PAY_SAL_OFCR_MAX,PAY_SAL_OFCR_MIN,PAY_SAL_SGT_MAX,PAY_SAL_SGT_MIN,PAY_SBARG,PAY_VEH_MRK,PAY_VEH_UMRK,PERS_RESP_CRT,PERS_RESP_INVST,PERS_RESP_JAIL,PERS_RESP_OTHR,PERS_RESP_PATRL,PTCIV,PTSWORN,Requires City to Pay for Misconduct,Restricts/Delays Interrogations,State,TOTALPRIV
1.0,1.0,1.0,1.0,155098000.0,2.0,1,3,703,1,1,1,1,1,Albuquerque,0,1,406.0,971.0,1,1,2,2,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0, ,2.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,2,2,1,137155.0,137155.0,41683.0,41683.0,62732.0,62732.0,2.0,1.0,1.0,8,200,0,60,703,15.0,20.0,1,1,NM,5
1.0,1.0,2.0,1.0,114943826.0,2.0,1,3,50,1,1,1,3,1,Anaheim,0,0,171.0,330.0,1,1,2,1,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0, ,1.0,2.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,2,2,1,2,254194.0,154057.0,86070.0,61173.0,116189.0,110656.0,1.0,2.0,2.0,0,83,0,83,164,106.0,0.0,1,1,CA,4
1.0,1.0,2.0,1.0,82668931.0,2.0,1,3,336,1,1,1,1,1,Arlington,0,0,181.0,621.0,0,1,1,1,2,0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,Detective Compensation,2.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,2,2,1,1,163147.0,108765.0,68363.0,50989.0,78191.0,74468.0,-8.0,2.0,2.0,5,149,6,125,336,13.0,26.0,0,0,TX,0
1.0,1.0,1.0,2.0,168651480.0,2.0,2,3,53,1,1,1,1,1,Atlanta,0,0,430.0,1940.0,0,1,1,2,2,0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0, ,1.0,1.0,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1,2,2,1,228016.0,152011.0,57417.0,39327.0,72345.0,49553.0,2.0,2.0,2.0,0,294,0,414,1232,0.0,0.0,0,0,GA,0
1.0,1.0,1.0,1.0,92458923.0,2.0,1,2, ,1,1,1,4,1,Aurora,0,0,120.0,680.0,0,2,1,1,2,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0, ,2.0,1.0,1,1,1.0,1.0,2.0,1.0,1.0,1.0,1,2,2,1,159622.0,105341.0,47101.0,47101.0,86105.0,80472.0,1.0,2.0,2.0,0,253,0,32,395,1.0,0.0,0,0,CO,0
1.0,1.0,1.0,1.0,301024790.0,2.0,1,3,675,1,1,1,3,1,Austin,1,1,624.0,1673.0,1,1,1,2,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,"longevity, mental health, field training",2.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,2,2,1,1,195000.0,195000.0,90208.0,55563.0,107173.0,87485.0,1.0,2.0,2.0,0,373,0,625,675,8.0,0.0,1,1,TX,6
1.0,1.0,2.0,1.0,69631317.0,2.0,2,3,-8,2,2,2,3,-8,Bakersfield,0,0,128.0,328.0,1,1,1,2,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0, ,2.0,2.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,2,2,1,179108.0,147353.0,65081.0,53433.0,91894.0,75593.0,3.0,2.0,2.0,1,70,0,18,239,0.0,0.0,1,1,CA,4
1.0,1.0,2.0,1.0,410000000.0,1.0,2,3,-8,2,2,2,3,2,Baltimore,1,1,307.0,2949.0,0,1,1,2,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0, ,2.0,1.0,1,1,1.0,1.0,1.0,1.0,2.0,2.0,1,2,2,1,204000.0,77200.0,69893.0,43136.0,81082.0,61585.0,2.0,3.0,2.0,1,794,0,420,1734,0.0,0.0,1,1,MD,5
1.0,1.0,1.0,1.0,84402820.0,2.0,1,3,-8,1,2,2,4,1,Baton Rouge,0,1,177.0,658.0,1,1,2,1,2,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,Aviation Pay,2.0,2.0,1,1,1.0,1.0,1.0,1.0,2.0,1.0,1,2,1,1,118758.0,85794.0,43450.0,31390.0,49078.0,46262.0,1.0,1.0,1.0,0,148,0,31,479,0.0,0.0,1,1,LA,4
2.0,1.0,2.0,2.0,278780806.0,2.0,2,3,150,1,1,1,3,3,Boston,0,0,571.0,2121.0,0,1,2,2,2,1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0, ,2.0,2.0, ,1,1.0,1.0,1.0,1.0,2.0,1.0, , , , ,,,57170.0,55941.0,100032.0,95643.0,3.0,2.0,2.0,25,278,0,320,1498,201.0,0.0,0,0,MA,1
